accession	tier	subtree_annotations	evidence_codes
P17174	2		
P17301	2		
P17480	2		
P17540	2		
P17568	2		
P17655	2		
P17661	1	GO:0097512(IDA:CAFA);GO:0030018(IDA:UniProtKB)	IDA
P17693	2		
P17812	2		
P17844	2		
P17858	2		
P17931	2		
P17980	2		
P17987	2		
P18031	2		
P18077	2		
P18085	2		
P18124	2		
P18206	1	GO:0043034(IDA:MGI)	IDA
P18510	2		
P18564	2		
P18583	2		
P18621	2		
P18669	2		
P18859	2		
P19022	2		
P19075	2		
P19105	2		
P19174	2		
P19237	1	GO:0005861(IBA:GO_Central)	IBA
P19256	2		
P19320	2		
P19338	2		
P19367	2		
P19387	2		
P19404	2		
P19429	1	GO:0097512(IMP:CAFA);GO:1990584(IMP:CAFA);GO:0030017(TAS:BHF-UCL);GO:0005861(IDA:UniProtKB)	IDA;IMP;TAS
P19474	2		
P19525	2		
P19623	2		
P19793	2		
P19823	2		
P19827	2		
P19961	2		
P19971	2		
P20020	2		
P20042	2		
P20073	2		
P20231	2		
P20339	2		
P20340	2		
P20472	2		
P20591	2		
P20592	2		
P20618	2		
P20671	2		
P20674	2		
P20700	2		
P20774	2		
P20807	1	GO:0030016(ISS:UniProtKB);GO:0030018(ISS:UniProtKB)	ISS
P20839	2		
P20908	2		
P20929	1	GO:0030018(IDA:UniProtKB)	IDA
P20962	2		
P21266	2		
P21281	2		
P21283	2		
P21291	1	GO:0030018(IBA:GO_Central)	IBA
P21333	1	GO:0030018(ISS:BHF-UCL)	ISS
P21397	2		
P21399	2		
P21695	2		
P21796	2		
P21817	1	GO:0031674(IDA:UniProtKB);GO:0030018(IBA:GO_Central)	IBA;IDA
P21912	2		
P21953	2		
P21964	2		
P21980	2		
P22033	2		
P22059	2		
P22061	2		
P22087	2		
P22102	2		
P22105	2		
P22234	2		
P22314	2		
P22392	2		
P22460	1	GO:0030018(IEA:Ensembl)	IEA
P22528	2		
P22570	2		
P22626	2		
P22694	2		
P22695	2		
P22735	2		
P22830	2		
P23109	2		
P23142	2		
P23193	2		
P23246	2		
P23258	2		
P23284	2		
P23297	2		
P23327	1	GO:0030018(IDA:BHF-UCL)	IDA
P23352	2		
P23368	2		
P23381	2		
P23396	2		
P23434	2		
P23490	2		
P23497	2		
P23508	2		
P23526	2		
P23527	2		
P23528	2		
P23588	2		
P23634	1	GO:0030018(IDA:BHF-UCL)	IDA
P23786	2		
P23919	2		
P23921	2		
P24043	2		
P24298	2		
P24310	2		
P24311	2		
P24534	2		
P24539	2		
P24593	2		
P24666	2		
P24821	2		
P24844	1	GO:0030016(IBA:GO_Central);GO:0030018(IEA:Ensembl)	IBA;IEA
P24928	2		
P25205	2		
P25311	2		
P25325	2		
P25398	2		
P25685	2		
P25686	2		
P25705	2		
P25786	2		
P25787	2		
P25788	2		
P25789	2		
P25815	2		
P25940	2		
P26038	2		
P26196	2		
P26232	2		
P26368	2		
P26373	2		
P26440	2		
P26447	2		
P26583	2		
P26599	2		
P26639	2		
P26640	2		
P26641	2		
P26678	2		
P26885	2		
P27105	2		
P27144	2		
P27169	2		
P27338	2		
P27348	2		
P27361	2		
P27482	2		
P27635	2		
P27694	2		
P27695	2		
P27797	2		
P27816	2		
P27824	2		
P27986	2		
P28065	2		
P28066	2		
P28070	2		
P28072	2		
P28074	2		
P28161	2		
P28289	1	GO:0030016(IDA:UniProtKB);GO:0030017(IDA:UniProtKB);GO:0005865(IDA:UniProtKB)	IDA
P28331	2		
P28370	2		
P28482	2		
P28827	2		
P28838	2		
P28907	2		
P29144	2		
P29218	2		
P29279	2		
P29317	2		
P29373	2		
P29475	1	GO:0030018(IEA:Ensembl)	IEA
P29508	2		
P29536	1	GO:0030016(IDA:UniProtKB);GO:0030017(ISS:UniProtKB);GO:0005865(IBA:GO_Central)	IBA;IDA;ISS
P29590	2		
P29692	2		
P29728	2		
P29992	2		
P30038	2		
P30040	2		
P30041	2		
P30043	2		
P30044	2		
P30046	2		
P30048	2		
P30049	2		
P30050	2		
P30084	2		
P30085	2		
P30086	2		
P30101	2		
P30153	2		
P30405	2		
P30419	2		
P30519	2		
P30533	2		
P30566	2		
P30622	2		
