accession	tier	subtree_annotations	evidence_codes
Q92736	2	GO:0014701(TAS:BHF-UCL);GO:1990425(IPI:ComplexPortal);GO:0016529(IDA:BHF-UCL);GO:0033017(ISS:UniProtKB)	IDA;IPI;ISS;TAS
Q92831	1	GO:0031672(IEA:Ensembl);GO:0031674(IEA:Ensembl)	IEA
Q92952	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q93084	2	GO:0016529(IDA:UniProtKB);GO:0033017(EXP:UniProtKB)	EXP;IDA
Q969P5	1	GO:0030018(IEA:Ensembl)	IEA
Q969Q1	1	GO:0031430(IMP:UniProtKB);GO:0030018(IMP:UniProtKB)	IMP
Q96AC1	1	GO:0031674(IEA:UniProtKB-SubCell)	IEA
Q96DD0	1	GO:0031430(IEA:UniProtKB-SubCell)	IEA
Q96HC4	1	GO:0030018(IBA:GO_Central)	IBA
Q96JJ6	2	GO:0030314(IBA:GO_Central);GO:0014701(TAS:BHF-UCL)	IBA;TAS
Q96JY6	1	GO:0030018(IBA:GO_Central)	IBA
Q96MG2	2	GO:0016529(IBA:GO_Central);GO:0033017(IEA:UniProtKB-SubCell)	IBA;IEA
Q96Q27	1	GO:0030018(ISS:UniProtKB)	ISS
Q9BR39	1	GO:0030018(IEA:Ensembl)	IEA
Q9BR39	2	GO:0030314(IBA:GO_Central);GO:0014701(TAS:BHF-UCL);GO:0016529(IBA:GO_Central);GO:0033017(ISS:UniProtKB)	IBA;ISS;TAS
Q9BVC6	2	GO:0033017(ISS:UniProtKB)	ISS
Q9BYV2	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q9C0I1	1	GO:0030017(IEA:UniProtKB-SubCell)	IEA
Q9C0I1	2	GO:0016529(ISS:UniProtKB)	ISS
Q9GZV1	1	GO:0031674(IEA:UniProtKB-SubCell)	IEA
Q9H1R3	1	GO:0030017(IC:BHF-UCL)	IC
Q9H2S1	1	GO:0030018(ISS:BHF-UCL)	ISS
Q9H6F2	2	GO:0033017(ISS:UniProtKB)	ISS
Q9H7C4	1	GO:0030018(IBA:GO_Central)	IBA
Q9H987	1	GO:0030018(ISS:BHF-UCL)	ISS
Q9HBI1	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q9HDC5	1	GO:0030018(IEA:Ensembl)	IEA
Q9HDC5	2	GO:0030314(IBA:GO_Central);GO:0014701(TAS:BHF-UCL);GO:0016529(IBA:GO_Central)	IBA;TAS
Q9NNX1	1	GO:0031674(IBA:GO_Central)	IBA
Q9NP98	1	GO:0030018(IBA:GO_Central)	IBA
Q9NPC6	1	GO:0030017(TAS:UniProtKB);GO:0030018(ISS:BHF-UCL)	ISS;TAS
Q9NR12	1	GO:0030018(IBA:GO_Central)	IBA
Q9NVD7	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q9NVV0	2	GO:0033017(IBA:GO_Central)	IBA
Q9NY72	1	GO:0030018(ISS:BHF-UCL)	ISS
Q9NYL9	1	GO:0005865(IBA:GO_Central)	IBA
Q9NZQ9	1	GO:0005865(IDA:UniProtKB)	IDA
Q9NZR1	1	GO:0005865(IBA:GO_Central)	IBA
Q9UBF9	1	GO:0030018(IDA:MGI)	IDA
Q9UDY4	1	GO:0030018(IDA:UniProtKB)	IDA
Q9UGI6	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q9UHP9	1	GO:0043034(IBA:GO_Central);GO:0031430(IBA:GO_Central)	IBA
Q9UJW0	1	GO:0030017(IEA:UniProtKB-SubCell)	IEA
Q9UKP3	1	GO:0030018(IBA:GO_Central)	IBA
Q9UKX2	1	GO:0030016(IDA:BHF-UCL);GO:0030017(NAS:BHF-UCL)	IDA;NAS
Q9UKX3	1	GO:0030016(IEA:UniProtKB-SubCell)	IEA
Q9UL15	2	GO:0030314(ISS:UniProtKB)	ISS
Q9ULV4	1	GO:0030017(IEA:UniProtKB-SubCell)	IEA
Q9UMS6	1	GO:0030018(IDA:UniProtKB)	IDA
Q9UNE7	1	GO:0030018(IBA:GO_Central)	IBA
Q9UQD0	1	GO:0030018(ISS:BHF-UCL)	ISS
Q9Y272	2	GO:0016529(IEA:Ensembl)	IEA
Q9Y281	1	GO:0031674(IDA:UniProtKB);GO:0030018(IDA:UniProtKB)	IDA
Q9Y2K3	1	GO:0030016(IEA:UniProtKB-SubCell)	IEA
Q9Y623	1	GO:0030016(IDA:BHF-UCL);GO:0030017(NAS:BHF-UCL)	IDA;NAS
Q9Y6A1	2	GO:0016529(IEA:Ensembl)	IEA
Q9Y6F6	2	GO:0016529(IEA:UniProtKB-SubCell)	IEA
